canonical_name,variant,variant_type,country,parent_funder,variant_count,merged_count,selection_method,discovery_method,funder_type,openalex_id,openalex_name,openalex_country,openalex_works_count,validation_status
Medical Research Council,UK Medical Research Council,alias,UK,UK Research and Innovation,408,24580,weibull_2.0x+openalex,ner_pipeline,government,F4320334626,Medical Research Council,GB,92054.0,explicit_alias
Medical Research Council,a Medical Research Council,fuzzy,UK,UK Research and Innovation,206,24580,weibull_2.0x+openalex,ner_pipeline,government,F4320334626,Medical Research Council,GB,92054.0,explicit_alias
Medical Research Council,a UK Medical Research Council,fuzzy,UK,UK Research and Innovation,31,24580,weibull_2.0x+openalex,ner_pipeline,government,F4320334626,Medical Research Council,GB,92054.0,explicit_alias
Medical Research Council,and Medical Research Council,fuzzy,UK,UK Research and Innovation,22,24580,weibull_2.0x+openalex,ner_pipeline,government,F4320334626,Medical Research Council,GB,92054.0,explicit_alias
Japan Society for the Promotion of Science,Japan Society,alias,Japan,,11390,21489,weibull_2.0x+openalex,ner_pipeline,government,F4320334764,Japan Society for the Promotion of Science,JP,311640.0,explicit_alias
Japan Society for the Promotion of Science,JSPS,acronym,Japan,,10099,21489,weibull_2.0x+openalex,ner_pipeline,government,F4320334764,Japan Society for the Promotion of Science,JP,311640.0,explicit_alias
Deutsche Forschungsgemeinschaft,DFG,acronym,Germany,,12851,21342,weibull_2.0x+openalex,ner_pipeline,government,F4320320879,Deutsche Forschungsgemeinschaft,DE,395751.0,explicit_alias
Deutsche Forschungsgemeinschaft,German Research Foundation,alias,Germany,,8491,21342,weibull_2.0x+openalex,ner_pipeline,government,F4320320879,Deutsche Forschungsgemeinschaft,DE,395751.0,explicit_alias
Wellcome Trust,Wellcome Trust,primary,UK,,20201,21187,weibull_2.0x+openalex,ner_pipeline,philanthropy,F4320311904,Wellcome Trust,GB,59176.0,explicit_alias
Wellcome Trust,a Wellcome Trust,alias,UK,,857,21187,weibull_2.0x+openalex,ner_pipeline,philanthropy,F4320311904,Wellcome Trust,GB,59176.0,explicit_alias
Wellcome Trust,Welcome Trust,fuzzy,UK,,129,21187,weibull_2.0x+openalex,ner_pipeline,philanthropy,F4320311904,Wellcome Trust,GB,59176.0,explicit_alias
Wellcome Trust,Wellcome,alias_manual,UK,,0,21187,weibull_2.0x+openalex,ner_pipeline,philanthropy,F4320311904,Wellcome Trust,GB,59176.0,explicit_alias
National Research Foundation of Korea,National Research Foundation,alias,Korea,,10876,20302,weibull_2.0x+openalex,ner_pipeline,government,F4320322120,National Research Foundation of Korea,KR,243459.0,explicit_alias
National Research Foundation of Korea,NRF,acronym,Korea,,9395,20302,weibull_2.0x+openalex,ner_pipeline,government,F4320322120,National Research Foundation of Korea,KR,243459.0,explicit_alias
National Research Foundation of Korea,Korean National Research Foundation,fuzzy,Korea,,31,20302,weibull_2.0x+openalex,ner_pipeline,government,F4320322120,National Research Foundation of Korea,KR,243459.0,explicit_alias
