journal,total_articles,open_data_articles,open_code_articles,pdf_covered,pdf_covered_od,xml_only,xml_only_od,open_data_pct,open_code_pct,corrected_od,ci_lo,ci_hi,corrected_pct,ci_lo_pct,ci_hi_pct
Acta Neurochirurgica,320,8.0,5.0,320.0,8.0,0.0,0.0,2.5,1.6,8.0,,,2.5,,
Development and Psychopathology,118,3.0,7.0,118.0,3.0,0.0,0.0,2.5,5.9,3.0,,,2.5,,
Arquivos de Neuro-Psiquiatria,121,3.0,0.0,83.0,3.0,38.0,0.0,2.5,0.0,3.7037037037037037,3.124503325983375,6.7132328362251386,3.1,2.582234,5.548126
Revista Latino-Americana de Enfermagem,118,3.0,1.0,24.0,3.0,94.0,0.0,2.5,0.8,17.897505379772056,17.80032208581142,17.995205987368905,15.2,15.085019,15.250175
JCO Precision Oncology,118,3.0,3.0,1.0,0.0,117.0,3.0,2.5,2.5,18.542639674822667,18.421677489786553,18.664245750235764,15.7,15.611591,15.817157
The Lancet Regional Health - Southeast Asia,170,4.0,14.0,0.0,0.0,170.0,4.0,2.4,8.2,26.94229696341755,26.76653994242491,27.118989551624615,15.8,15.745023,15.952347
Health Expectations,455,11.0,8.0,233.0,10.0,222.0,1.0,2.4,1.8,19.527896995708154,15.211809871527105,27.13576420329759,4.3,3.343255,5.963904
Toxics,1125,27.0,7.0,651.0,25.0,474.0,2.0,2.4,0.6,43.23076923076923,37.41182110290156,51.62044359240079,3.8,3.325495,4.588484
Clinical and Translational Science,368,9.0,10.0,188.0,6.0,180.0,3.0,2.4,2.7,11.74468085106383,9.0,18.21647626712106,3.2,2.445652,4.950129
BMC Anesthesiology,657,16.0,5.0,657.0,16.0,0.0,0.0,2.4,0.8,16.0,,,2.4,,
European Radiology,288,7.0,20.0,287.0,7.0,1.0,0.0,2.4,6.9,7.027888446215139,7.01357333131525,7.056437216413221,2.4,2.435269,2.450152
European Heart Journal Open,128,3.0,1.0,77.0,3.0,51.0,0.0,2.3,0.8,4.987012987012987,3.6802231224592785,8.528481306943405,3.9,2.875174,6.662876
Health Science Reports,1145,26.0,13.0,499.0,18.0,646.0,8.0,2.3,1.1,41.30260521042084,32.81729372836211,54.36716197299593,3.6,2.866139,4.748224
SSM - Population Health,215,5.0,6.0,0.0,0.0,215.0,5.0,2.3,2.8,34.07408145373396,33.85180051541974,34.2975456094076,15.8,15.745023,15.952347
APL Bioengineering,131,3.0,4.0,0.0,0.0,131.0,3.0,2.3,3.1,20.761417071809994,20.625980779162724,20.897574301546026,15.8,15.745023,15.952347
eJHaem,311,7.0,2.0,177.0,6.0,134.0,1.0,2.3,0.6,10.542372881355933,8.093955296459885,15.644352703469332,3.4,2.602558,5.030338
ACS Sustainable Chemistry & Engineering,177,4.0,4.0,18.0,2.0,159.0,2.0,2.3,2.3,27.19897186578465,27.03458735791506,27.36423140416655,15.4,15.273778,15.460018
JDS Communications,177,4.0,9.0,0.0,0.0,177.0,4.0,2.3,5.1,28.051685661911215,27.86869158711299,28.235653827279744,15.8,15.745023,15.952347
Infectious Disease Modelling,130,3.0,18.0,0.0,0.0,130.0,3.0,2.3,13.8,20.602932972025187,20.468530544207283,20.738050833595292,15.8,15.745023,15.952347
Clinical and Molecular Hepatology,176,4.0,1.0,87.0,4.0,89.0,0.0,2.3,0.6,8.13953488372093,5.6227969123933565,14.107875738138244,4.6,3.194771,8.015838
Acta Medica Philippina,173,4.0,1.0,48.0,4.0,125.0,0.0,2.3,0.6,23.81051247310114,23.68127936943008,23.940433493841628,13.8,13.688601,13.838401
Naunyn-Schmiedeberg s Archives of Pharmacology,176,4.0,0.0,176.0,4.0,0.0,0.0,2.3,0.0,4.0,,,2.3,,
Public Health in Practice,137,3.0,4.0,0.0,0.0,137.0,3.0,2.2,2.9,21.71232167051885,21.57068218889537,21.854715109250424,15.8,15.745023,15.952347
Epilepsia Open,225,5.0,3.0,116.0,5.0,109.0,0.0,2.2,1.3,9.73913043478261,7.039588941723759,15.655750064146238,4.3,3.128706,6.958111
JMIR Public Health and Surveillance,407,9.0,14.0,63.0,9.0,344.0,0.0,2.2,3.4,58.14285714285714,35.494403243434164,94.91329495648924,14.3,8.720984,23.32022
Langenbeck s Archives of Surgery,269,6.0,2.0,269.0,6.0,0.0,0.0,2.2,0.7,6.0,,,2.2,,
International Journal of Emergency Medicine,277,6.0,1.0,277.0,6.0,0.0,0.0,2.2,0.4,6.0,,,2.2,,
International journal of exercise science,137,3.0,1.0,0.0,0.0,137.0,3.0,2.2,0.7,21.71232167051885,21.57068218889537,21.854715109250424,15.8,15.745023,15.952347
