journal,n_corpus,n_xml,n_pdf_now,h2h_now,h2h_projected,crossed_50,still_short_50
Journal of Chemical Theory and Computation,437,426.0,11.0,0.0,46.0,False,True
Chinese Medical Journal,435,435.0,2.0,2.0,2.0,False,True
Journal of Veterinary Internal Medicine,434,434.0,48.0,48.0,262.0,True,False
Kidney International Reports,434,434.0,2.0,2.0,2.0,False,True
Biodiversity Data Journal,433,433.0,103.0,103.0,109.0,False,False
Journal of Imaging,432,432.0,87.0,87.0,254.0,False,False
BMC Biology,431,431.0,313.0,313.0,431.0,False,False
Journal of Functional Biomaterials,430,429.0,79.0,78.0,231.0,False,False
Applied and Environmental Microbiology,428,428.0,0.0,0.0,1.0,False,True
The Journal of Physical Chemistry B,424,415.0,9.0,0.0,46.0,False,True
Urology Case Reports,423,423.0,0.0,0.0,0.0,False,True
Journal of Global Health,422,422.0,0.0,0.0,0.0,False,True
International Journal of Biological Sciences,422,422.0,1.0,1.0,1.0,False,True
Sports,419,419.0,93.0,93.0,247.0,False,False
Journal of Cardiovascular Development and Disease,419,419.0,92.0,92.0,240.0,False,False
BMC Medical Research Methodology,418,418.0,323.0,323.0,418.0,False,False
Revista da Associação Médica Brasileira,417,417.0,141.0,141.0,199.0,False,False
BMJ Open Quality,415,415.0,0.0,0.0,0.0,False,True
Gut Microbes,414,414.0,1.0,1.0,178.0,True,False
Journal of Neurology,414,393.0,313.0,292.0,393.0,False,False
Frontiers in Artificial Intelligence,414,414.0,163.0,163.0,242.0,False,False
Langmuir,413,410.0,3.0,0.0,45.0,False,True
ERJ Open Research,413,413.0,1.0,1.0,1.0,False,True
Clinical Cosmetic and Investigational Dermatology,412,412.0,116.0,116.0,172.0,False,False
BMC Chemistry,411,411.0,282.0,282.0,411.0,False,False
Surgical Case Reports,411,410.0,262.0,261.0,332.0,False,False
International Journal of Medical Sciences,411,411.0,0.0,0.0,0.0,False,True
Risk Management and Healthcare Policy,407,407.0,112.0,112.0,166.0,False,False
JMIR Public Health and Surveillance,407,407.0,61.0,61.0,63.0,False,False
Journal of Experimental & Clinical Cancer Research,406,406.0,283.0,283.0,406.0,False,False
Aging Cell,404,401.0,43.0,40.0,184.0,True,False
The EMBO Journal,403,403.0,4.0,4.0,12.0,False,True
EMBO Reports,401,401.0,1.0,1.0,4.0,False,True
Respirology Case Reports,399,399.0,24.0,24.0,215.0,True,False
Veterinary World,399,399.0,0.0,0.0,0.0,False,True
BIO-PROTOCOL,396,396.0,1.0,1.0,2.0,False,True
Clinical and Translational Medicine,394,394.0,31.0,31.0,195.0,True,False
Psychology Research and Behavior Management,392,392.0,102.0,102.0,147.0,False,False
BMC Palliative Care,389,389.0,300.0,300.0,389.0,False,False
Biochemistry and Biophysics Reports,388,388.0,1.0,1.0,1.0,False,True
Orthopaedic Surgery,387,385.0,33.0,31.0,196.0,True,False
Nursing Reports,385,385.0,91.0,91.0,213.0,False,False
Current Research in Food Science,384,384.0,0.0,0.0,0.0,False,True
Journal of Health Population and Nutrition,382,382.0,242.0,242.0,382.0,False,False
Chemical Communications,381,91.0,331.0,41.0,46.0,False,True
Signal Transduction and Targeted Therapy,380,380.0,278.0,278.0,380.0,False,False
Microbiome,380,380.0,275.0,275.0,380.0,False,False
Insights into Imaging,379,377.0,296.0,294.0,377.0,False,False
Emerging Microbes & Infections,378,378.0,2.0,2.0,174.0,True,False
Bioinformation,377,377.0,0.0,0.0,0.0,False,True
Science Progress,377,377.0,0.0,0.0,76.0,True,False
The Italian Journal of Pediatrics/Italian journal of pediatrics,377,377.0,249.0,249.0,377.0,False,False
Experimental and Therapeutic Medicine,377,350.0,239.0,212.0,270.0,False,False
MedComm,376,376.0,32.0,32.0,206.0,True,False
Acta Dermato Venereologica,375,372.0,271.0,268.0,370.0,False,False
npj Parkinson s Disease,371,371.0,248.0,248.0,370.0,False,False
European Journal of Pediatrics,371,354.0,263.0,246.0,354.0,False,False
The Lancet Regional Health - Europe,371,371.0,0.0,0.0,0.0,False,True
Alzheimer s Research & Therapy,371,371.0,286.0,286.0,371.0,False,False
PLANT PHYSIOLOGY,370,370.0,0.0,0.0,269.0,True,False
Clinical Oral Investigations,369,363.0,269.0,263.0,363.0,False,False
Molecular Therapy — Nucleic Acids,369,369.0,3.0,3.0,52.0,True,False
Thoracic Cancer,368,368.0,45.0,45.0,197.0,True,False
Clinical and Translational Science,368,368.0,34.0,34.0,188.0,True,False
Cancer Science,364,361.0,42.0,39.0,193.0,True,False
Journal of Imaging Informatics in Medicine,362,108.0,360.0,106.0,108.0,False,False
Arthroplasty Today,361,361.0,0.0,0.0,0.0,False,True
Diseases,361,361.0,69.0,69.0,186.0,False,False
BMC Endocrine Disorders,360,360.0,275.0,275.0,360.0,False,False
The Lancet Regional Health - Americas,359,359.0,0.0,0.0,0.0,False,True
Nano-Micro Letters,359,359.0,236.0,236.0,359.0,False,False
European Journal of Case Reports in Internal Medicine,359,359.0,82.0,82.0,127.0,False,False
American Journal of Ophthalmology Case Reports,358,358.0,0.0,0.0,0.0,False,True
Journal of Chemical Information and Modeling,358,356.0,2.0,0.0,48.0,False,True
Membranes,357,356.0,68.0,67.0,203.0,False,False
ESMO Open,357,357.0,0.0,0.0,0.0,False,True
Translational Lung Cancer Research,357,357.0,0.0,0.0,0.0,False,True
Critical Care,356,356.0,274.0,274.0,356.0,False,False
