pmid,pmcid,doi,oddpub_category,text_source,char_len
39379382,PMC11461699,10.1038/s41597-024-03939-0,,mineru_md,35707
39384776,PMC11464671,10.1038/s41597-024-03968-9,,mineru_md,50072
39389959,PMC11467317,10.1038/s41597-024-03937-2,"supplement, unknown/misspecified source",mineru_md,69053
39389990,PMC11467320,10.1038/s41597-024-03926-5,,mineru_md,80021
39414802,PMC11484779,10.1038/s41597-024-03960-3,github,mineru_md,56250
39420018,PMC11487249,10.1038/s41597-024-03984-9,github,mineru_md,69049
39420189,PMC11487133,10.1038/s41597-024-03969-8,"re-use, unknown/misspecified source",mineru_md,64145
39424844,PMC11489569,10.1038/s41597-024-03940-7,unknown/misspecified source,mineru_md,45413
39426989,PMC11490614,10.1038/s41597-024-03995-6,unknown/misspecified source,mineru_md,66321
39448662,PMC11502698,10.1038/s41597-024-03982-x,github,mineru_md,40692
39455586,PMC11512011,10.1038/s41597-024-04012-6,,mineru_md,29616
39472432,PMC11522301,10.1038/s41597-024-04024-2,,mineru_md,61784
39477968,PMC11526026,10.1038/s41597-024-03918-5,github,mineru_md,51365
39487161,PMC11530659,10.1038/s41597-024-04053-x,,mineru_md,60396
39500890,PMC11538507,10.1038/s41597-024-04034-0,"unknown/misspecified source, upon request",mineru_md,80021
39521807,PMC11550319,10.1038/s41597-024-04020-6,,mineru_md,52895
39532896,PMC11557595,10.1038/s41597-024-04065-7,,mineru_md,47768
39532912,PMC11557825,10.1038/s41597-024-03991-w,"unknown/misspecified source, re-use",mineru_md,35636
39532918,PMC11557934,10.1038/s41597-024-04060-y,"re-use, github",mineru_md,72920
39532938,PMC11557571,10.1038/s41597-024-04098-y,,mineru_md,23926
39543106,PMC11564775,10.1038/s41597-024-04029-x,unknown/misspecified source,mineru_md,62358
39543183,PMC11564725,10.1038/s41597-024-04063-9,,mineru_md,63514
39557852,PMC11574100,10.1038/s41597-024-04076-4,unknown/misspecified source,mineru_md,46616
39557872,PMC11574002,10.1038/s41597-024-04116-z,"supplement, upon request",mineru_md,46554
39567508,PMC11579286,10.1038/s41597-024-04085-3,,mineru_md,27929
39567545,PMC11579464,10.1038/s41597-024-03974-x,"supplement, re-use",mineru_md,60024
39572561,PMC11582633,10.1038/s41597-024-04123-0,"supplement, upon request, unknown/misspecified source",mineru_md,56654
39572577,PMC11582579,10.1038/s41597-024-04114-1,github,mineru_md,56580
39580471,PMC11585596,10.1038/s41597-024-04128-9,supplement,mineru_md,47097
39580497,PMC11585549,10.1038/s41597-024-04117-y,unknown/misspecified source,mineru_md,47940
39587111,PMC11589874,10.1038/s41597-024-04143-w,"supplement, unknown/misspecified source, upon request",mineru_md,63164
39587125,PMC11589117,10.1038/s41597-024-04036-y,,mineru_md,43847
39587138,PMC11589760,10.1038/s41597-024-04027-z,,mineru_md,60573
39592620,PMC11599280,10.1038/s41597-024-04133-y,unknown/misspecified source,mineru_md,39594
39592621,PMC11599594,10.1038/s41597-024-04019-z,supplement,mineru_md,69897
39592634,PMC11599385,10.1038/s41597-024-04101-6,unknown/misspecified source,mineru_md,75345
39604495,PMC11603170,10.1038/s41597-024-04130-1,supplement,mineru_md,44493
39609419,PMC11604672,10.1038/s41597-024-04099-x,,mineru_md,42055
39609443,PMC11605126,10.1038/s41597-024-04074-6,,mineru_md,48091
39609451,PMC11604968,10.1038/s41597-024-04077-3,github,mineru_md,59849
39616184,PMC11608352,10.1038/s41597-024-04163-6,,mineru_md,45556
