journal,total_articles,open_data_articles,open_code_articles,pdf_covered,pdf_covered_od,xml_only,xml_only_od,open_data_pct,open_code_pct
JACS Au,550,22.0,10.0,1.0,0.0,549.0,22.0,4.0,1.8
Transfusion,100,4.0,2.0,22.0,2.0,78.0,2.0,4.0,2.0
Haematologica,352,14.0,4.0,148.0,13.0,204.0,1.0,4.0,1.1
Tropical Animal Health and Production,126,5.0,6.0,81.0,5.0,45.0,0.0,4.0,4.8
Journal of Clinical Laboratory Analysis,149,6.0,1.0,12.0,1.0,137.0,5.0,4.0,0.7
Archives of Medical Science,150,6.0,3.0,51.0,4.0,99.0,2.0,4.0,2.0
BMC Health Services Research,2205,88.0,33.0,1714.0,87.0,491.0,1.0,4.0,1.5
Pediatric Research,321,13.0,10.0,320.0,13.0,1.0,0.0,4.0,3.1
BMC Nephrology,609,24.0,10.0,451.0,23.0,158.0,1.0,3.9,1.6
Neurological Sciences,152,6.0,3.0,127.0,6.0,25.0,0.0,3.9,2.0
International Journal of Surgery,814,32.0,16.0,0.0,0.0,814.0,32.0,3.9,2.0
HemaSphere,205,8.0,3.0,23.0,4.0,182.0,4.0,3.9,1.5
Journal of Gastrointestinal Oncology,259,10.0,5.0,1.0,0.0,258.0,10.0,3.9,1.9
Journal of the European Academy of Dermatology and Venereology,104,4.0,0.0,37.0,3.0,67.0,1.0,3.8,0.0
Frontiers in Neurology,2291,86.0,32.0,1153.0,55.0,1138.0,31.0,3.8,1.4
The Indian Journal of Medical Research,133,5.0,0.0,0.0,0.0,133.0,5.0,3.8,0.0
European Journal of Nutrition,182,7.0,7.0,117.0,5.0,65.0,2.0,3.8,3.8
Revista Brasileira de Enfermagem,236,9.0,3.0,60.0,9.0,176.0,0.0,3.8,1.3
Frontiers in Pediatrics,1535,58.0,10.0,667.0,47.0,868.0,11.0,3.8,0.7
Philosophical Transactions of the Royal Society B Biological Sciences,240,9.0,11.0,0.0,0.0,240.0,9.0,3.8,4.6
ChemistryOpen,183,7.0,3.0,21.0,3.0,162.0,4.0,3.8,1.6
Metabolites,844,31.0,16.0,185.0,11.0,659.0,20.0,3.7,1.9
Brain,189,7.0,6.0,2.0,0.0,187.0,7.0,3.7,3.2
Public Health Nutrition,298,11.0,8.0,164.0,11.0,134.0,0.0,3.7,2.7
Small Methods,136,5.0,4.0,24.0,1.0,112.0,4.0,3.7,2.9
Journal of Advanced Veterinary and Animal Research,140,5.0,1.0,0.0,0.0,140.0,5.0,3.6,0.7
Cardio-Oncology,111,4.0,2.0,80.0,3.0,31.0,1.0,3.6,1.8
Studies in health technology and informatics,1144,41.0,39.0,1142.0,41.0,2.0,0.0,3.6,3.4
Preventing Chronic Disease,110,4.0,4.0,0.0,0.0,110.0,4.0,3.6,3.6
Research,337,12.0,6.0,0.0,0.0,337.0,12.0,3.6,1.8
Journal of Patient-Reported Outcomes,197,7.0,7.0,144.0,6.0,53.0,1.0,3.6,3.6
AIDS Research and Therapy,140,5.0,1.0,104.0,5.0,36.0,0.0,3.6,0.7
Molecules,7085,255.0,27.0,1318.0,71.0,5767.0,184.0,3.6,0.4
Journal of Feline Medicine and Surgery,140,5.0,1.0,0.0,0.0,140.0,5.0,3.6,0.7
Clinical Epidemiology,114,4.0,10.0,33.0,2.0,81.0,2.0,3.5,8.8
BMC Pharmacology and Toxicology,201,7.0,2.0,117.0,5.0,84.0,2.0,3.5,1.0
Immunity Inflammation and Disease,341,12.0,8.0,34.0,2.0,307.0,10.0,3.5,2.3
The Clinical Respiratory Journal,144,5.0,2.0,9.0,1.0,135.0,4.0,3.5,1.4
Brazilian Journal of Medical and Biological Research,142,5.0,3.0,50.0,2.0,92.0,3.0,3.5,2.1
European Journal of Pediatrics,371,13.0,7.0,263.0,13.0,108.0,0.0,3.5,1.9
Journal of Animal Science,199,7.0,5.0,0.0,0.0,199.0,7.0,3.5,2.5
Obesity Science & Practice,113,4.0,1.0,4.0,0.0,109.0,4.0,3.5,0.9
World Journal of Surgical Oncology,480,17.0,3.0,342.0,14.0,138.0,3.0,3.5,0.6
Antioxidants,1667,59.0,6.0,350.0,16.0,1317.0,43.0,3.5,0.4
Journal of the Endocrine Society,261,9.0,2.0,2.0,0.0,259.0,9.0,3.4,0.8
ChemPhysChem,116,4.0,6.0,22.0,0.0,94.0,4.0,3.4,5.2
Sexual Medicine,116,4.0,0.0,0.0,0.0,116.0,4.0,3.4,0.0
Journal of Synchrotron Radiation,233,8.0,22.0,0.0,0.0,233.0,8.0,3.4,9.4
Tropical Medicine and Infectious Disease,355,12.0,1.0,87.0,4.0,268.0,8.0,3.4,0.3
Molecular and Clinical Oncology,117,4.0,4.0,56.0,4.0,61.0,0.0,3.4,3.4
Archives of Dermatological Research,120,4.0,3.0,89.0,4.0,31.0,0.0,3.3,2.5
European Journal of Public Health,214,7.0,2.0,0.0,0.0,214.0,7.0,3.3,0.9
BMC Medical Imaging,511,17.0,33.0,370.0,17.0,141.0,0.0,3.3,6.5
Health Economics Review,123,4.0,2.0,89.0,4.0,34.0,0.0,3.3,1.6
Preventive Medicine Reports,457,15.0,8.0,0.0,0.0,457.0,15.0,3.3,1.8
Frontiers in Allergy,150,5.0,1.0,58.0,5.0,92.0,0.0,3.3,0.7
Journal of Diabetes Investigation,242,8.0,4.0,21.0,1.0,221.0,7.0,3.3,1.7
Clinics,276,9.0,4.0,0.0,0.0,276.0,9.0,3.3,1.4
ACS Central Science,303,10.0,5.0,0.0,0.0,303.0,10.0,3.3,1.7
Journal of Assisted Reproduction and Genetics,181,6.0,2.0,160.0,6.0,21.0,0.0,3.3,1.1
Journal of Nanobiotechnology,1037,33.0,6.0,737.0,29.0,300.0,4.0,3.2,0.6
Saudi Pharmaceutical Journal,154,5.0,0.0,9.0,2.0,145.0,3.0,3.2,0.0
Journal of Rehabilitation Medicine,156,5.0,2.0,120.0,5.0,36.0,0.0,3.2,1.3
EJNMMI Physics,157,5.0,4.0,114.0,5.0,43.0,0.0,3.2,2.5
Journal of Veterinary Internal Medicine,434,14.0,4.0,48.0,5.0,386.0,9.0,3.2,0.9
NeuroImage Clinical,228,7.0,31.0,0.0,0.0,228.0,7.0,3.1,13.6
Clinical Rheumatology,128,4.0,24.0,96.0,3.0,32.0,1.0,3.1,18.8
Journal of Diabetes,129,4.0,2.0,6.0,1.0,123.0,3.0,3.1,1.6
Narra J,227,7.0,2.0,33.0,6.0,194.0,1.0,3.1,0.9
JMIR Serious Games,130,4.0,5.0,9.0,1.0,121.0,3.0,3.1,3.8
Ophthalmology Science,287,9.0,14.0,1.0,0.0,286.0,9.0,3.1,4.9
International Journal of Nursing Studies Advances,131,4.0,3.0,0.0,0.0,131.0,4.0,3.1,2.3
The Journal of Clinical Endocrinology & Metabolism,227,7.0,5.0,12.0,2.0,215.0,5.0,3.1,2.2
International Journal of Immunopathology and Pharmacology,100,3.0,2.0,0.0,0.0,100.0,3.0,3.0,2.0
European Thyroid Journal,100,3.0,3.0,0.0,0.0,100.0,3.0,3.0,3.0
Medicine,4702,140.0,74.0,0.0,0.0,4702.0,140.0,3.0,1.6
ChemSusChem,265,8.0,1.0,44.0,2.0,221.0,6.0,3.0,0.4
Renal Failure,658,20.0,12.0,0.0,0.0,658.0,20.0,3.0,1.8
Brain and Behavior,756,23.0,20.0,36.0,3.0,720.0,20.0,3.0,2.6
Ophthalmology and Therapy,237,7.0,6.0,190.0,7.0,47.0,0.0,3.0,2.5
Clinical and Translational Gastroenterology,140,4.0,4.0,1.0,0.0,139.0,4.0,2.9,2.9
Medical Science Educator,140,4.0,1.0,98.0,3.0,42.0,1.0,2.9,0.7
Journal of Clinical and Translational Hepatology,102,3.0,1.0,0.0,0.0,102.0,3.0,2.9,1.0
Pain and Therapy,102,3.0,1.0,86.0,3.0,16.0,0.0,2.9,1.0
ALPHA PSYCHIATRY,102,3.0,1.0,0.0,0.0,102.0,3.0,2.9,1.0
BMJ Open Diabetes Research & Care,139,4.0,1.0,0.0,0.0,139.0,4.0,2.9,0.7
Skin Research and Technology,342,10.0,2.0,36.0,2.0,306.0,8.0,2.9,0.6
Frontiers in Digital Health,341,10.0,18.0,122.0,7.0,219.0,3.0,2.9,5.3
Blood,104,3.0,3.0,5.0,1.0,99.0,2.0,2.9,2.9
JMIR Research Protocols,757,22.0,14.0,98.0,14.0,659.0,8.0,2.9,1.8
MethodsX,758,22.0,52.0,1.0,0.0,757.0,22.0,2.9,6.9
Medical Physics,206,6.0,18.0,42.0,3.0,164.0,3.0,2.9,8.7
International Journal of Medical Sciences,411,12.0,13.0,0.0,0.0,411.0,12.0,2.9,3.2
Journal of Clinical Hypertension,238,7.0,3.0,14.0,1.0,224.0,6.0,2.9,1.3
Annals of Intensive Care,174,5.0,7.0,139.0,5.0,35.0,0.0,2.9,4.0
Journal of Alzheimer s Disease Reports,174,5.0,2.0,1.0,0.0,173.0,5.0,2.9,1.1
JMIR Medical Informatics,272,8.0,26.0,35.0,6.0,237.0,2.0,2.9,9.6
Journal of Neurology,414,12.0,13.0,313.0,11.0,101.0,1.0,2.9,3.1
Archiv für Pathologische Anatomie und Physiologie und für Klinische Medicin,109,3.0,2.0,106.0,3.0,3.0,0.0,2.8,1.8
BJPsych Open,285,8.0,13.0,131.0,7.0,154.0,1.0,2.8,4.6
Drug Delivery and Translational Research,108,3.0,0.0,104.0,3.0,4.0,0.0,2.8,0.0
British Journal of Haematology,145,4.0,1.0,48.0,2.0,97.0,2.0,2.8,0.7
Digestive Diseases and Sciences,145,4.0,4.0,121.0,4.0,24.0,0.0,2.8,2.8
Interactive Journal of Medical Research,110,3.0,4.0,15.0,2.0,95.0,1.0,2.7,3.6
Frontiers in Ophthalmology,110,3.0,4.0,41.0,2.0,69.0,1.0,2.7,3.6
Quality of Life Research,188,5.0,12.0,157.0,5.0,31.0,0.0,2.7,6.4
The Journal of Prevention of Alzheimer s Disease,147,4.0,4.0,2.0,0.0,145.0,4.0,2.7,2.7
BMC Medical Ethics,183,5.0,1.0,145.0,5.0,38.0,0.0,2.7,0.5
GeoHealth,113,3.0,6.0,8.0,2.0,105.0,1.0,2.7,5.3
Translational Andrology and Urology,296,8.0,4.0,0.0,0.0,296.0,8.0,2.7,1.4
ACR Open Rheumatology,186,5.0,3.0,12.0,1.0,174.0,4.0,2.7,1.6
Vaccines,1541,42.0,10.0,353.0,18.0,1188.0,24.0,2.7,0.6
Cancer Medicine,1318,36.0,29.0,97.0,4.0,1221.0,32.0,2.7,2.2
Clinics in Orthopedic Surgery,154,4.0,0.0,111.0,3.0,43.0,1.0,2.6,0.0
Discover Nano,232,6.0,0.0,189.0,6.0,43.0,0.0,2.6,0.0
ACS Omega,5973,153.0,61.0,0.0,0.0,5973.0,153.0,2.6,1.0
Journal of Multidisciplinary Healthcare,651,17.0,6.0,170.0,11.0,481.0,6.0,2.6,0.9
Drug and Alcohol Dependence Reports,117,3.0,2.0,0.0,0.0,117.0,3.0,2.6,1.7
BMC Palliative Care,389,10.0,5.0,300.0,10.0,89.0,0.0,2.6,1.3
Development and Psychopathology,118,3.0,7.0,118.0,3.0,0.0,0.0,2.5,5.9
Chinese Medical Journal,435,11.0,10.0,2.0,0.0,433.0,11.0,2.5,2.3
Psychiatry Investigation,202,5.0,2.0,77.0,4.0,125.0,1.0,2.5,1.0
Arquivos de Neuro-Psiquiatria,121,3.0,0.0,83.0,3.0,38.0,0.0,2.5,0.0
Journal of Pain Research,523,13.0,7.0,162.0,8.0,361.0,5.0,2.5,1.3
Behavioral Sciences,1741,44.0,17.0,308.0,16.0,1433.0,28.0,2.5,1.0
Cancer Reports,324,8.0,5.0,31.0,1.0,293.0,7.0,2.5,1.5
Yonsei Medical Journal,119,3.0,1.0,78.0,2.0,41.0,1.0,2.5,0.8
Innovation in Aging,118,3.0,0.0,0.0,0.0,118.0,3.0,2.5,0.0
Journal of Atherosclerosis and Thrombosis,119,3.0,3.0,5.0,0.0,114.0,3.0,2.5,2.5
Diagnostic Pathology,204,5.0,5.0,157.0,3.0,47.0,2.0,2.5,2.5
Advanced Healthcare Materials,279,7.0,5.0,43.0,1.0,236.0,6.0,2.5,1.8
Infectious Disease Reports,120,3.0,0.0,22.0,1.0,98.0,2.0,2.5,0.0
IBRO Neuroscience Reports,160,4.0,3.0,0.0,0.0,160.0,4.0,2.5,1.9
JCO Precision Oncology,118,3.0,3.0,1.0,0.0,117.0,3.0,2.5,2.5
The Lancet Regional Health - Southeast Asia,170,4.0,14.0,0.0,0.0,170.0,4.0,2.4,8.2
Cancer Biology & Therapy,125,3.0,1.0,0.0,0.0,125.0,3.0,2.4,0.8
Frontiers in Neurorobotics,166,4.0,4.0,86.0,3.0,80.0,1.0,2.4,2.4
European Radiology,288,7.0,19.0,285.0,7.0,3.0,0.0,2.4,6.6
Obesity Surgery,211,5.0,2.0,162.0,5.0,49.0,0.0,2.4,0.9
Conservation Physiology,123,3.0,4.0,0.0,0.0,123.0,3.0,2.4,3.3
Reproductive Health,266,6.0,1.0,194.0,5.0,72.0,1.0,2.3,0.4
BDJ Open,131,3.0,1.0,98.0,3.0,33.0,0.0,2.3,0.8
PubMed,5728,131.0,56.0,34.0,1.0,5694.0,130.0,2.3,1.0
SSM - Population Health,215,5.0,6.0,0.0,0.0,215.0,5.0,2.3,2.8
Life,1867,43.0,10.0,412.0,13.0,1455.0,30.0,2.3,0.5
Acta Medica Philippina,173,4.0,1.0,48.0,4.0,125.0,0.0,2.3,0.6
Naunyn-Schmiedeberg s Archives of Pharmacology,176,4.0,0.0,167.0,4.0,9.0,0.0,2.3,0.0
APL Bioengineering,131,3.0,4.0,0.0,0.0,131.0,3.0,2.3,3.1
Infectious Disease Modelling,130,3.0,18.0,0.0,0.0,130.0,3.0,2.3,13.8
JDS Communications,177,4.0,9.0,0.0,0.0,177.0,4.0,2.3,5.1
Diabetes Therapy,176,4.0,5.0,131.0,3.0,45.0,1.0,2.3,2.8
JAMIA Open,175,4.0,28.0,1.0,0.0,174.0,4.0,2.3,16.0
Clinical and Molecular Hepatology,176,4.0,1.0,74.0,4.0,102.0,0.0,2.3,0.6
Dermatology and Therapy,267,6.0,7.0,201.0,6.0,66.0,0.0,2.2,2.6
Advanced Materials,447,10.0,7.0,143.0,2.0,304.0,8.0,2.2,1.6
The Lancet Regional Health - Europe,371,8.0,21.0,0.0,0.0,371.0,8.0,2.2,5.7
PAIN Reports,139,3.0,5.0,0.0,0.0,139.0,3.0,2.2,3.6
JMIR Public Health and Surveillance,407,9.0,13.0,61.0,9.0,346.0,0.0,2.2,3.2
Public Health in Practice,137,3.0,4.0,0.0,0.0,137.0,3.0,2.2,2.9
European Journal of Nuclear Medicine and Molecular Imaging,232,5.0,11.0,209.0,5.0,23.0,0.0,2.2,4.7
Translational Lung Cancer Research,357,8.0,6.0,0.0,0.0,357.0,8.0,2.2,1.7
International journal of exercise science,137,3.0,1.0,0.0,0.0,137.0,3.0,2.2,0.7
Food Science & Nutrition,1070,22.0,5.0,72.0,2.0,998.0,20.0,2.1,0.5
Journal of Orthopaedic Surgery and Research,1199,25.0,11.0,861.0,24.0,338.0,1.0,2.1,0.9
Neural Regeneration Research,480,10.0,7.0,1.0,0.0,479.0,10.0,2.1,1.5
Clinical Research in Cardiology,141,3.0,2.0,136.0,3.0,5.0,0.0,2.1,1.4
CNS Neuroscience & Therapeutics,668,14.0,20.0,45.0,2.0,623.0,12.0,2.1,3.0
Intensive Care Medicine Experimental,141,3.0,2.0,107.0,3.0,34.0,0.0,2.1,1.4
JMIR Mental Health,142,3.0,7.0,16.0,1.0,126.0,2.0,2.1,4.9
Molecular Pharmaceutics,145,3.0,1.0,0.0,0.0,145.0,3.0,2.1,0.7
Science Progress,377,8.0,1.0,0.0,0.0,377.0,8.0,2.1,0.3
Gastro Hep Advances,190,4.0,3.0,0.0,0.0,190.0,4.0,2.1,1.6
Foods,5262,111.0,22.0,980.0,25.0,4282.0,86.0,2.1,0.4
BMC Medical Education,2148,46.0,18.0,1601.0,43.0,547.0,3.0,2.1,0.8
EJNMMI Research,193,4.0,6.0,132.0,4.0,61.0,0.0,2.1,3.1
Pulmonary Circulation,193,4.0,5.0,21.0,1.0,172.0,3.0,2.1,2.6
Biomacromolecules,192,4.0,3.0,1.0,0.0,191.0,4.0,2.1,1.6
Antimicrobial Stewardship & Healthcare Epidemiology,304,6.0,4.0,93.0,4.0,211.0,2.0,2.0,1.3
Journal of Allergy and Clinical Immunology Global,249,5.0,4.0,2.0,0.0,247.0,5.0,2.0,1.6
European Journal of Trauma and Emergency Surgery,204,4.0,0.0,152.0,4.0,52.0,0.0,2.0,0.0
Materials Today Bio,795,16.0,5.0,0.0,0.0,795.0,16.0,2.0,0.6
International Journal of Legal Medicine,153,3.0,10.0,136.0,3.0,17.0,0.0,2.0,6.5
Hypertension Research,100,2.0,3.0,88.0,2.0,12.0,0.0,2.0,3.0
International Journal of Colorectal Disease,247,5.0,4.0,173.0,5.0,74.0,0.0,2.0,1.6
BMC Emergency Medicine,294,6.0,5.0,232.0,6.0,62.0,0.0,2.0,1.7
Translational Vision Science & Technology,506,10.0,15.0,1.0,0.0,505.0,10.0,2.0,3.0
BMC Anesthesiology,657,13.0,5.0,477.0,13.0,180.0,0.0,2.0,0.8
Statistics in Medicine,154,3.0,47.0,20.0,2.0,134.0,1.0,1.9,30.5
Clinical Infectious Diseases,155,3.0,6.0,1.0,1.0,154.0,2.0,1.9,3.9
International Journal of General Medicine,777,15.0,16.0,264.0,9.0,513.0,6.0,1.9,2.1
Journal of the American Chemical Society,1291,25.0,15.0,5.0,1.0,1286.0,24.0,1.9,1.2
BioMedical Engineering OnLine,160,3.0,8.0,114.0,3.0,46.0,0.0,1.9,5.0
Journal of Religion and Health,104,2.0,0.0,85.0,2.0,19.0,0.0,1.9,0.0
Nutrients,4728,92.0,28.0,921.0,34.0,3807.0,58.0,1.9,0.6
Brain Sciences,1307,25.0,11.0,266.0,15.0,1041.0,10.0,1.9,0.8
Clinical Pharmacology & Therapeutics,107,2.0,7.0,20.0,1.0,87.0,1.0,1.9,6.5
Balkan Medical Journal,105,2.0,1.0,1.0,0.0,104.0,2.0,1.9,1.0
European Journal of Sport Science,211,4.0,7.0,20.0,0.0,191.0,4.0,1.9,3.3
Health Research Policy and Systems,209,4.0,1.0,162.0,4.0,47.0,0.0,1.9,0.5
Cancers,4121,77.0,41.0,920.0,40.0,3201.0,37.0,1.9,1.0
European Heart Journal - Digital Health,105,2.0,2.0,0.0,0.0,105.0,2.0,1.9,1.9
Biomedicines,3002,58.0,29.0,678.0,18.0,2324.0,40.0,1.9,1.0
International Journal of Reproductive BioMedicine (IJRM),103,2.0,1.0,39.0,1.0,64.0,1.0,1.9,1.0
Pharmaceuticals,1846,35.0,7.0,384.0,16.0,1462.0,19.0,1.9,0.4
Journal of Microbiology and Biology Education,110,2.0,2.0,0.0,0.0,110.0,2.0,1.8,1.8
JBMR Plus,227,4.0,4.0,1.0,0.0,226.0,4.0,1.8,1.8
Alzheimer s & Dementia Diagnosis Assessment & Disease Monitoring,223,4.0,11.0,27.0,1.0,196.0,3.0,1.8,4.9
Eye,227,4.0,4.0,205.0,4.0,22.0,0.0,1.8,1.8
In Vivo,225,4.0,2.0,0.0,0.0,225.0,4.0,1.8,0.9
Cancer Research and Treatment,110,2.0,2.0,59.0,1.0,51.0,1.0,1.8,1.8
Light Science & Applications,490,9.0,7.0,348.0,8.0,142.0,1.0,1.8,1.4
Journal of the American Medical Informatics Association,113,2.0,13.0,4.0,0.0,109.0,2.0,1.8,11.5
JMIR Formative Research,1045,19.0,28.0,85.0,12.0,960.0,7.0,1.8,2.7
Molecular Genetics and Metabolism Reports,164,3.0,0.0,1.0,0.0,163.0,3.0,1.8,0.0
China CDC Weekly,272,5.0,1.0,0.0,0.0,272.0,5.0,1.8,0.4
Asian Spine Journal,114,2.0,1.0,28.0,2.0,86.0,0.0,1.8,0.9
World Journal of Diabetes,272,5.0,1.0,0.0,0.0,272.0,5.0,1.8,0.4
Frontiers in Sports and Active Living,721,13.0,6.0,311.0,13.0,410.0,0.0,1.8,0.8
ERJ Open Research,413,7.0,12.0,1.0,0.0,412.0,7.0,1.7,2.9
Journal of Clinical Neurology,119,2.0,0.0,98.0,2.0,21.0,0.0,1.7,0.0
Rheumatology and Therapy,116,2.0,11.0,105.0,2.0,11.0,0.0,1.7,9.5
Journal of Thoracic Disease,891,15.0,15.0,0.0,0.0,891.0,15.0,1.7,1.7
Journal of International Medical Research,541,9.0,9.0,0.0,0.0,541.0,9.0,1.7,1.7
Revista Latino-Americana de Enfermagem,118,2.0,1.0,18.0,2.0,100.0,0.0,1.7,0.8
Toxicology Reports,348,6.0,2.0,0.0,0.0,348.0,6.0,1.7,0.6
Endocrine,116,2.0,1.0,106.0,2.0,10.0,0.0,1.7,0.9
Environmental Monitoring and Assessment,237,4.0,18.0,183.0,4.0,54.0,0.0,1.7,7.6
Journal of Sleep Research,115,2.0,6.0,19.0,0.0,96.0,2.0,1.7,5.2
Journal of Endocrinological Investigation,115,2.0,2.0,108.0,2.0,7.0,0.0,1.7,1.7
ecancermedicalscience,229,4.0,0.0,0.0,0.0,229.0,4.0,1.7,0.0
Clinical Cardiology,176,3.0,1.0,22.0,0.0,154.0,3.0,1.7,0.6
JMIR Cancer,115,2.0,4.0,10.0,1.0,105.0,1.0,1.7,3.5
International Journal of Computer Assisted Radiology and Surgery,174,3.0,28.0,147.0,3.0,27.0,0.0,1.7,16.1
Dermatology Practical & Conceptual,175,3.0,0.0,52.0,0.0,123.0,3.0,1.7,0.0
ESMO Open,357,6.0,13.0,0.0,0.0,357.0,6.0,1.7,3.6
World Journal of Gastrointestinal Oncology,484,8.0,10.0,0.0,0.0,484.0,8.0,1.7,2.1
Breast Cancer Research and Treatment,234,4.0,4.0,189.0,4.0,45.0,0.0,1.7,1.7
The Journal of Organic Chemistry,304,5.0,0.0,0.0,0.0,304.0,5.0,1.6,0.0
AJPM Focus,129,2.0,1.0,0.0,0.0,129.0,2.0,1.6,0.8
Clinical Oral Investigations,369,6.0,3.0,269.0,5.0,100.0,1.0,1.6,0.8
BMJ Public Health,449,7.0,11.0,0.0,0.0,449.0,7.0,1.6,2.4
Radiation Oncology,258,4.0,6.0,191.0,4.0,67.0,0.0,1.6,2.3
JMIR mhealth and uhealth,190,3.0,6.0,18.0,1.0,172.0,2.0,1.6,3.2
Scientifica,124,2.0,0.0,4.0,0.0,120.0,2.0,1.6,0.0
BMJ Open,4923,77.0,99.0,1.0,0.0,4922.0,77.0,1.6,2.0
Open Forum Infectious Diseases,893,14.0,12.0,5.0,1.0,888.0,13.0,1.6,1.3
BMJ Neurology Open,126,2.0,1.0,0.0,0.0,126.0,2.0,1.6,0.8
The Saudi Dental Journal,125,2.0,0.0,10.0,0.0,115.0,2.0,1.6,0.0
Digital Health,972,16.0,22.0,0.0,0.0,972.0,16.0,1.6,2.3
American Journal of Tropical Medicine and Hygiene,253,4.0,4.0,5.0,0.0,248.0,4.0,1.6,1.6
Journal of Clinical and Translational Science,258,4.0,3.0,98.0,2.0,160.0,2.0,1.6,1.2
Clinical and Translational Science,368,6.0,6.0,34.0,2.0,334.0,4.0,1.6,1.6
BMC Ophthalmology,799,12.0,1.0,568.0,12.0,231.0,0.0,1.5,0.1
IDCases,333,5.0,1.0,0.0,0.0,333.0,5.0,1.5,0.3
Iranian Journal of Public Health,275,4.0,2.0,0.0,0.0,275.0,4.0,1.5,0.7
Drug Design Development and Therapy,602,9.0,7.0,147.0,4.0,455.0,5.0,1.5,1.2
Pharmaceutics,1713,25.0,6.0,365.0,7.0,1348.0,18.0,1.5,0.4
Annals of Hematology,328,5.0,4.0,215.0,4.0,113.0,1.0,1.5,1.2
The Journal of Physical Chemistry Letters,463,7.0,7.0,18.0,0.0,445.0,7.0,1.5,1.5
Annals of Medicine,675,10.0,13.0,0.0,0.0,675.0,10.0,1.5,1.9
ACS Nano,675,10.0,16.0,17.0,0.0,658.0,10.0,1.5,2.4
Saudi Medical Journal,202,3.0,0.0,0.0,0.0,202.0,3.0,1.5,0.0
Journal of Ethnobiology and Ethnomedicine,134,2.0,1.0,103.0,2.0,31.0,0.0,1.5,0.7
Acta Oncologica,202,3.0,1.0,131.0,2.0,71.0,1.0,1.5,0.5
Indian Journal of Otolaryngology and Head & Neck Surgery,202,3.0,0.0,191.0,2.0,11.0,1.0,1.5,0.0
Archives of Endocrinology and Metabolism,137,2.0,0.0,0.0,0.0,137.0,2.0,1.5,0.0
Psychology Research and Behavior Management,392,6.0,2.0,102.0,3.0,290.0,3.0,1.5,0.5
ACS Photonics,136,2.0,3.0,0.0,0.0,136.0,2.0,1.5,2.2
European Journal of Investigation in Health Psychology and Education,260,4.0,3.0,66.0,1.0,194.0,3.0,1.5,1.2
Vaccine X,135,2.0,2.0,0.0,0.0,135.0,2.0,1.5,1.5
Journal of Diabetes Research,134,2.0,3.0,1.0,0.0,133.0,2.0,1.5,2.2
Risk Management and Healthcare Policy,407,6.0,3.0,112.0,5.0,295.0,1.0,1.5,0.7
Anais Brasileiros de Dermatologia,133,2.0,0.0,0.0,0.0,133.0,2.0,1.5,0.0
Journal of Gynecologic Oncology,132,2.0,1.0,116.0,2.0,16.0,0.0,1.5,0.8
Journal of Ayub Medical College Abbottabad,131,2.0,1.0,131.0,2.0,0.0,0.0,1.5,0.8
BMC Nursing,1491,22.0,10.0,1095.0,21.0,396.0,1.0,1.5,0.7
Journal of Medical Internet Research,1416,21.0,59.0,115.0,12.0,1301.0,9.0,1.5,4.2
Supportive Care in Cancer,453,7.0,7.0,322.0,7.0,131.0,0.0,1.5,1.5
IJC Heart & Vasculature,262,4.0,3.0,0.0,0.0,262.0,4.0,1.5,1.1
Diabetes Metabolic Syndrome and Obesity,507,7.0,2.0,129.0,5.0,378.0,2.0,1.4,0.4
Translational Animal Science,217,3.0,2.0,0.0,0.0,217.0,3.0,1.4,0.9
Journal of Cardiothoracic Surgery,838,12.0,5.0,728.0,11.0,110.0,1.0,1.4,0.6
Annals of Surgical Oncology,511,7.0,3.0,460.0,7.0,51.0,0.0,1.4,0.6
Journal of Dental Sciences,346,5.0,2.0,0.0,0.0,346.0,5.0,1.4,0.6
Kidney International Reports,434,6.0,6.0,2.0,1.0,432.0,5.0,1.4,1.4
American Heart Journal Plus Cardiology Research and Practice,147,2.0,1.0,0.0,0.0,147.0,2.0,1.4,0.7
Health Science Reports,1145,16.0,6.0,79.0,2.0,1066.0,14.0,1.4,0.5
RöFo - Fortschritte auf dem Gebiet der Röntgenstrahlen und der bildgebenden Verfahren,144,2.0,1.0,142.0,2.0,2.0,0.0,1.4,0.7
Annals of Clinical and Translational Neurology,354,5.0,9.0,39.0,2.0,315.0,3.0,1.4,2.5
Rheumatology International,142,2.0,40.0,95.0,2.0,47.0,0.0,1.4,28.2
Methods and Protocols,145,2.0,0.0,29.0,0.0,116.0,2.0,1.4,0.0
Asia-Pacific Journal of Oncology Nursing,145,2.0,1.0,0.0,0.0,145.0,2.0,1.4,0.7
Graefe s Archive for Clinical and Experimental Ophthalmology,140,2.0,5.0,136.0,2.0,4.0,0.0,1.4,3.6
Technology in Cancer Research & Treatment,218,3.0,7.0,0.0,0.0,218.0,3.0,1.4,3.2
International Journal of Emergency Medicine,277,4.0,1.0,205.0,4.0,72.0,0.0,1.4,0.4
Contemporary Clinical Trials Communications,219,3.0,6.0,0.0,0.0,219.0,3.0,1.4,2.7
Advanced Biomedical Research,144,2.0,0.0,0.0,0.0,144.0,2.0,1.4,0.0
Acta Orthopaedica,146,2.0,2.0,31.0,2.0,115.0,0.0,1.4,1.4
Food Chemistry X,1384,18.0,5.0,0.0,0.0,1384.0,18.0,1.3,0.4
JTO Clinical and Research Reports,152,2.0,1.0,0.0,0.0,152.0,2.0,1.3,0.7
